filename,status,set,number,fullName,imageField,sourceUrl,contentType
001 - 13 - Minnie Mouse - Beloved Princess.jpg,downloaded,1,13,Minnie Mouse - Beloved Princess,full,https://api.lorcana.ravensburger.com/images/en/set1/13_21b9cc3cece2f70bd555b419aa96f59e21c94fee.jpg,image/jpeg;charset=UTF-8
001 - 13 - Prince Eric - Grim Groom.jpg,downloaded,1,13,Prince Eric - Grim Groom,full,https://api.lorcana.ravensburger.com/images/en/quest1/13_da3e1672d7821c05449b98ca965e74ae5e9b820d.jpg,image/jpeg;charset=UTF-8
001 - 14 - Moana - Of Motunui.jpg,downloaded,1,14,Moana - Of Motunui,full,https://api.lorcana.ravensburger.com/images/en/set1/14_6e23726ff80e639dbbd0a763015da4bdbd757d44.jpg,image/jpeg;charset=UTF-8
001 - 14 - Shark - Toothy Terror.jpg,downloaded,1,14,Shark - Toothy Terror,full,https://api.lorcana.ravensburger.com/images/en/quest1/14_23e1a68d800693a3a6bb085e51094716cb3110d1.jpg,image/jpeg;charset=UTF-8
001 - 15 - Mr. Smee - Loyal First Mate.jpg,downloaded,1,15,Mr. Smee - Loyal First Mate,full,https://api.lorcana.ravensburger.com/images/en/set1/15_f5e729af183e5e3f08346d9d8ae9a4a8e606e31f.jpg,image/jpeg;charset=UTF-8
001 - 15 - Tamatoa - Grabby Crab.jpg,downloaded,1,15,Tamatoa - Grabby Crab,full,https://api.lorcana.ravensburger.com/images/en/quest1/15_8031d363e6d98d37893044b37ee89107acc08239.jpg,image/jpeg;charset=UTF-8
001 - 16 - Prince Phillip - Dragonslayer.jpg,downloaded,1,16,Prince Phillip - Dragonslayer,full,https://api.lorcana.ravensburger.com/images/en/set1/16_1de77daae839a915d1c06ee89f8d282379b3f412.jpg,image/jpeg;charset=UTF-8
001 - 16 - Triton's Daughters - Discordant Chorus.jpg,downloaded,1,16,Triton's Daughters - Discordant Chorus,full,https://api.lorcana.ravensburger.com/images/en/quest1/16_f2327918872d118e1c5292037acc96c7d19c4710.jpg,image/jpeg;charset=UTF-8
001 - 17 - Capsize.jpg,downloaded,1,17,Capsize,full,https://api.lorcana.ravensburger.com/images/en/quest1/17_5ed5419fef1407ff9bb8dd309c0e7b87b2ffeaf6.jpg,image/jpeg;charset=UTF-8
001 - 17 - Pumbaa - Friendly Warthog.jpg,downloaded,1,17,Pumbaa - Friendly Warthog,full,https://api.lorcana.ravensburger.com/images/en/set1/17_1897f93c14bb4d6bc0ca397cc24aacc602b30a61.jpg,image/jpeg;charset=UTF-8
001 - 18 - Choppy Waters.jpg,downloaded,1,18,Choppy Waters,full,https://api.lorcana.ravensburger.com/images/en/quest1/18_6be48d7de4d53ca317be268f5d2de323fcdff76d.jpg,image/jpeg;charset=UTF-8
001 - 18 - Rapunzel - Gifted with Healing.jpg,downloaded,1,18,Rapunzel - Gifted with Healing,full,https://api.lorcana.ravensburger.com/images/en/set1/18_71f25a859f742e0d2c7cb96fa115542072d77583.jpg,image/jpeg;charset=UTF-8
001 - 19 - Crushing Wave.jpg,downloaded,1,19,Crushing Wave,full,https://api.lorcana.ravensburger.com/images/en/quest1/19_fecce5fc1790a6aef49e71b009ba60b3ae7c2163.jpg,image/jpeg;charset=UTF-8
001 - 19 - Sebastian - Court Composer.jpg,downloaded,1,19,Sebastian - Court Composer,full,https://api.lorcana.ravensburger.com/images/en/set1/19_b8d4e65dc867a80a36c63da3c31a0e0e742d72aa.jpg,image/jpeg;charset=UTF-8
001 - 20 - Entangling Magic.jpg,downloaded,1,20,Entangling Magic,full,https://api.lorcana.ravensburger.com/images/en/quest1/20_d0535ef9f329dea0a681816560991d91aa037d3f.jpg,image/jpeg;charset=UTF-8
001 - 20 - Genie - Powers Unleashed.jpg,downloaded,1,20,Genie - Powers Unleashed,full,https://api.lorcana.ravensburger.com/images/en/promo1/20_42490b79888660ddaa402a593f2ec927a88a122f.jpg,image/jpeg;charset=UTF-8
001 - 20 - Simba - Protective Cub.jpg,downloaded,1,20,Simba - Protective Cub,full,https://api.lorcana.ravensburger.com/images/en/set1/20_b2f2a37d828a715e998f77ee0d95e49c84e54509.jpg,image/jpeg;charset=UTF-8
001 - 21 - Fortunate Hit.jpg,downloaded,1,21,Fortunate Hit,full,https://api.lorcana.ravensburger.com/images/en/quest1/21_7bd66a119add7204b2dcacab2300e87e06446905.jpg,image/jpeg;charset=UTF-8
001 - 21 - Stitch - Abomination.jpg,downloaded,1,21,Stitch - Abomination,full,https://api.lorcana.ravensburger.com/images/en/promo1/21_f217671965746af13ac6a063b76ece7d3bd3a101.jpg,image/jpeg;charset=UTF-8
001 - 21 - Stitch - Carefree Surfer.jpg,downloaded,1,21,Stitch - Carefree Surfer,full,https://api.lorcana.ravensburger.com/images/en/set1/21_c9313d800707f408e740502a15578f53314c125a.jpg,image/jpeg;charset=UTF-8
001 - 22 - Lash Out.jpg,downloaded,1,22,Lash Out,full,https://api.lorcana.ravensburger.com/images/en/quest1/22_67b19a2d5e8603a951e031e2b01feaacbe047139.jpg,image/jpeg;charset=UTF-8
